Paper,Ref,Serum/Plasma,#Subjects,Healthy/Unhealthy,Fasted/Fed,Analysis Technique,Units,CA,CDCA,DCA,UDCA,LCA,G-CA,G-CDCA,G-DCA,G-UDCA,G-LCA,T-CA,T-CDCA,T-DCA,T-UDCA,T-LCA,totalCA,totalCDCA,totalDCA,totalUDCA,totalLCA,Conjugated:Unconjugated,2nd:1st,Disease,Biliary/Hepato,Liver/Non-liver,NAFLD/NASH/Cirrhosis,Metabolic/HCC/Cholestatsis,Males,Females,Average Age,Extraction,Starting Volume,Protein Precipitation,Evaporation Technique,Reconstitution Solvent,Extraction Method,Derivitisation,Exact Analysis Technique,Publication Year,Value Type,Total Bilirubin (mg/dL),NOTES
Association between circulating bile acid alterations and nonalcoholic steatohepatitis independent of obesity and diabetes mellitus,https://doi.org/10.1111/liv.15030,Serum,40,Normal,Fed,LC-MS,nM,71.8,349.3,600,70.7,,103.2,923.9,216.6,,,32.5,125.9,33.8,10.9,,207.5,1399.1,850.4,,,1.325151127,0.580107058,,,Healthy,Normal,Normal,15,25,52.8,50ul serum extracted with 200ul MeOH dried using SpeedVac Concentrators ,50,Methanol,Vacuum,H2O;Ammonium Acetate;Methanol:Acetonitrile,,,UPLC-TQMS,2021,Median,,UPLC-TQMS: Median; Nonobese;  No-NAFLD
Association between circulating bile acid alterations and nonalcoholic steatohepatitis independent of obesity and diabetes mellitus,https://doi.org/10.1111/liv.15030,Serum,20,Normal,Fed,LC-MS,nM,83.7,358.9,478.7,82.2,,88.2,726.5,107.5,,,45,108.8,28,9.9,,216.9,1194.2,614.2,,,1.110014948,0.5005315,,,Healthy,Normal,Normal,9,11,54.5,50ul serum extracted with 200ul MeOH dried using SpeedVac Concentrators ,50,Methanol,Vacuum,H2O;Ammonium Acetate;Methanol:Acetonitrile,,,UPLC-TQMS,2021,Median,,UPLC-TQMS: Median Obese No-NAFLD
Association between circulating bile acid alterations and nonalcoholic steatohepatitis independent of obesity and diabetes mellitus,https://doi.org/10.1111/liv.15030,Serum,42,Unhealthy,Fed,LC-MS,nM,91.4,551.4,711.9,69.6,,92.4,712.9,109.8,,,27.2,83.5,47.3,13.9,,211,1347.8,869,,,0.763181914,0.611046959,NAFL,,Liver,NAFL,Metabolic,22,20,59.9,50ul serum extracted with 200ul MeOH dried using SpeedVac Concentrators ,50,Methanol,Vacuum,H2O;Ammonium Acetate;Methanol:Acetonitrile,,,UPLC-TQMS,2021,Median,,UPLC-TQMS: Median Nonobese NAFL
Association between circulating bile acid alterations and nonalcoholic steatohepatitis independent of obesity and diabetes mellitus,https://doi.org/10.1111/liv.15030,Serum,51,Unhealthy,Fed,LC-MS,nM,151.4,802.3,629.3,89.1,,172.3,613.4,164.1,,,45.6,96.2,33.8,10,,369.3,1511.9,827.2,,,0.679026374,0.492398469,NAFL,,Liver,NAFL,Metabolic,31,20,50,50ul serum extracted with 200ul MeOH dried using SpeedVac Concentrators ,50,Methanol,Vacuum,H2O;Ammonium Acetate;Methanol:Acetonitrile,,,UPLC-TQMS,2021,Median,,UPLC-TQMS: Median Obese NAFL
Association between Pre-Diagnostic Serum Bile Acids and Hepatocellular Carcinoma: The Singapore Chinese Health Study,https://doi.org/10.3390/cancers13112648,Serum,100,Unhealthy,Unknown,LC-MS,nM,100,920,629,243,,796,6234,839,15,,169,675,124,23.2,,1065,7829,1592,281.2,,4.690909091,0.210613897,HCC,,Liver,HCC,HCC,75,25,66.3,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2021,Geometric Mean,,UPLC-TQMS:Geometric Mean; HCC
Association between Pre-Diagnostic Serum Bile Acids and Hepatocellular Carcinoma: The Singapore Chinese Health Study,https://doi.org/10.3390/cancers13112648,Serum,100,Normal,Unknown,LC-MS,nM,95,825,773,145,,211,1883,566,11.8,,36,110,45,14.2,,342,2818,1384,171,,1.565288357,0.492088608,,,Healthy,Normal,Normal,75,25,66.4,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2021,Geometric Mean,,UPLC-TQMS: Geometric Mean
Association of Serum and Fecal Bile Acid Patterns With Liver Fibrosis in Biopsy-Proven Disease: An Observational Study Nonalcoholic Fatty Liver,https://doi.org/10.14309/ctg.0000000000000503,Serum,55,Normal,Fasted,LC-MS,uM,0.27,1.24,0.45,0.75,0.46,,,,,,,,,,,0.44,2.59,1.43,1.4,0.66,1.057,1.151815182,,,,Normal,Normal,,,,20ul serum. IS and 20ul ethanol:H2O 9:1. Diluted with 2ml 0.5 M potassium phosphate buffer. Passed through Bond Elut C18 cartridges. Cartridge washed with 1.6ml water. BAs eluted in 3ml ethanol:water 9:1. Evaporated at 100deg under N2. Redissolved in 20mM ammonium acetate buffer (pH 7.5):MeOH 1:1. Centrifuge. SN injected.,20,Ethanol:H2O,N2,Ammonium Acetate:Methanol,SPE,,LC-ESI-MS/MS,2022,Arithmetic Mean,,LC-ESI-MS/MS: Mean; Healthy
Association of Serum and Fecal Bile Acid Patterns With Liver Fibrosis in Biopsy-Proven Disease: An Observational Study Nonalcoholic Fatty Liver,https://doi.org/10.14309/ctg.0000000000000503,Serum,52,Unhealthy,Fasted,LC-MS,uM,0.8,2.09,0.41,1.09,0.73,,,,,,,,,,,1.18,2.64,0.96,1.75,1.03,0.475,0.771626298,NAFLD Mild Fibrosis,,Liver,NAFLD,Metabolic,,,,20ul serum. IS and 20ul ethanol:H2O 9:1. Diluted with 2ml 0.5 M potassium phosphate buffer. Passed through Bond Elut C18 cartridges. Cartridge washed with 1.6ml water. BAs eluted in 3ml ethanol:water 9:1. Evaporated at 100deg under N2. Redissolved in 20mM ammonium acetate buffer (pH 7.5):MeOH 1:1. Centrifuge. SN injected.,20,Ethanol:H2O,N2,Ammonium Acetate:Methanol,SPE,,LC-ESI-MS/MS,2022,Arithmetic Mean,,LC-ESI-MS/MS: Mean; NAFLD (Mild Fibrosis)
Association of Serum and Fecal Bile Acid Patterns With Liver Fibrosis in Biopsy-Proven Disease: An Observational Study Nonalcoholic Fatty Liver,https://doi.org/10.14309/ctg.0000000000000503,Serum,34,Unhealthy,Fasted,LC-MS,uM,1.39,2.45,1.35,0.83,1.11,,,,,,,,,,,1.94,3.26,1.94,1.5,1.45,0.415,0.856770833,NAFLD Advanced Fibrosis,,Liver,NAFLD,Metabolic,,,,20ul serum. IS and 20ul ethanol:H2O 9:1. Diluted with 2ml 0.5 M potassium phosphate buffer. Passed through Bond Elut C18 cartridges. Cartridge washed with 1.6ml water. BAs eluted in 3ml ethanol:water 9:1. Evaporated at 100deg under N2. Redissolved in 20mM ammonium acetate buffer (pH 7.5):MeOH 1:1. Centrifuge. SN injected.,20,Ethanol:H2O,N2,Ammonium Acetate:Methanol,SPE,,LC-ESI-MS/MS,2022,Arithmetic Mean,,LC-ESI-MS/MS: Mean; NAFLD (Advanced Fibrosis)
Bile Acid Alterations Are Associated With Insulin Resistance; but Not With NASH; in Obese Subjects,https://doi.org/10.1210/jc.2017-01397,Plasma,26,Normal,Fasted,LC-MS,nM,37,97,177,,0,82,235,58,,8,15,32,10,,1,134,364,245,,9,1.418006431,0.510040161,,,Healthy,Normal,Normal,3,23,40.5,50ul serum. 325ul 1/100 dilution IS solution. 225ul cold MeOH added for protein precipitation. Vortex. Kept at -20deg for 20mins; Centrifuge. SN dried in Savant speedvac concentrator. Reconsititute in 50ul MeOH:H20 50:50 v/v. Centrifuge,50,Methanol,Vacuum,Methanol:H2O,,,LC-MS/MS,2017,Median,0.49,LC-MS/MS: Median; No-NASH; normal liver; or minor lesions; as well as no fibrosis
Bile Acid Alterations Are Associated With Insulin Resistance; but Not With NASH; in Obese Subjects,https://doi.org/10.1210/jc.2017-01397,Plasma,32,Unhealthy,Fasted,LC-MS,nM,27,77,250,,0,88,210,85,,7,15,31,14,,1,130,318,349,,8,1.274011299,0.796875,NASH,,Liver,NASH,Metabolic,13,19,41.3,50ul serum. 325ul 1/100 dilution IS solution. 225ul cold MeOH added for protein precipitation. Vortex. Kept at -20deg for 20mins; Centrifuge. SN dried in Savant speedvac concentrator. Reconsititute in 50ul MeOH:H20 50:50 v/v. Centrifuge,50,Methanol,Vacuum,Methanol:H2O,,,LC-MS/MS,2017,Median,0.56,LC-MS/MS: Median; NASH
Bile Acid Profiles Are Distinct among Patients with Different Etiologies of Chronic Liver Disease,https://doi.org/10.1021/acs.jproteome.0c00852,Serum,37,Unhealthy,Fasted,LC-MS,nM,1294.89,913.44,107.86,699.21,35.64,5376.38,14338.61,380.25,3394.88,42.142,2223.07,6774.66,244.4,881,13.63,8894.34,22026.71,732.51,4975.09,91.412,11.03526076,0.187542532,ALD,,Liver,,,37,0,56.78,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2021,Arithmetic Mean,4.72,UPLC-TQMS: Mean; ALD
Bile Acid Profiles Are Distinct among Patients with Different Etiologies of Chronic Liver Disease,https://doi.org/10.1021/acs.jproteome.0c00852,Serum,57,Unhealthy,Fasted,LC-MS,nM,514.23,478.31,102.91,1725.86,18.12,4784.93,6519.32,199.67,9072.45,26.8,1652.45,2613.9,113.27,1395.93,3.79,6951.61,9611.53,415.85,12194.24,48.71,9.291481037,0.764275373,Primary Biliary Cirrhosis,,Liver,Cirrhosis,Metabolic,7,50,61.3,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2021,Arithmetic Mean,2.33,UPLC-TQMS: Mean; Primary Biliary Cirrhosis
Bile Acid Profiles Are Distinct among Patients with Different Etiologies of Chronic Liver Disease,https://doi.org/10.1021/acs.jproteome.0c00852,Serum,400,Unhealthy,Fasted,LC-MS,nM,146.39,197.89,80.02,39.61,1.36,924.69,1759.09,251.18,69.6,3.07,275.51,455.42,73.62,8.83,1.99,1346.59,2412.4,404.82,118.04,6.42,8.216734369,0.14080378,Hep B,,Liver,,,304,96,34.07,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2021,Arithmetic Mean,1.26,UPLC-TQMS: Mean; Hep B
Bile Acid Profiles Are Distinct among Patients with Different Etiologies of Chronic Liver Disease,https://doi.org/10.1021/acs.jproteome.0c00852,Serum,11,Unhealthy,Fasted,LC-MS,nM,186.12,339.67,57.45,83.62,0.99,387.77,1526.32,118.72,67.96,1.64,72.88,180.02,21.1,15.59,1.62,646.77,2046.01,197.27,167.17,4.25,3.584068279,0.136917981,Hep C,,Liver,,,8,3,40.4,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2021,Arithmetic Mean,1.02,UPLC-TQMS: Mean; Hep C
Bile Acid Profiles Are Distinct among Patients with Different Etiologies of Chronic Liver Disease,https://doi.org/10.1021/acs.jproteome.0c00852,Serum,153,Normal,Fasted,LC-MS,nM,57.43,134.55,60.19,41.89,1.37,67.84,252.14,44.36,23.48,1.37,9.01,17.93,568,1.56,1.12,134.28,404.62,672.55,66.93,3.86,3.340249805,1.379365374,,,Healthy,Normal,Normal,108,45,38.92,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2021,Arithmetic Mean,0.89,UPLC-TQMS: Mean; Healthy Control
Bile Acid Profiles Are Distinct among Patients with Different Etiologies of Chronic Liver Disease,https://doi.org/10.1021/acs.jproteome.0c00852,Serum,214,Unhealthy,Fasted,LC-MS,nM,196.59,488.49,196.34,263.18,4.3,2079.35,992.22,185.3,148.34,5.9,63.32,110.15,27.35,7.46,1.44,2339.26,1590.86,408.99,418.98,11.64,3.151562364,0.213634698,NASH,,Liver,NASH,Metabolic,109,105,44.8,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2021,Arithmetic Mean,,UPLC-TQMS: Mean; NASH
Bile acid profiling in human biological samples: Comparison of extraction procedures and application to normal and cholestatic patients.,https://doi.org/10.1016/j.jchromb.2012.05.015,Serum,9,Unhealthy,Fasted,LC-MS,nM,40,ND,15,ND,ND,25030,12370,680,40,,53920,18130,1030,30,,78990,,1725,,,2022.363636,0.016394191,Cholestasis,,,,,,,,500 ul serum Acetonitrile deproteinization; followed by evaporation and solid phase extraction,500,Acetonitrile,N2,Ammonium Acetate,SPE,,LC-MS/MS,2012,Arithmetic Mean,,LC-MS/MS: Mean; Cholestatic
Bile acid profiling in human biological samples: Comparison of extraction procedures and application to normal and cholestatic patients.,https://doi.org/10.1016/j.jchromb.2012.05.015,Serum,23,Normal,Fasted,LC-MS,nM,65,130,240,20,30,190,720,390,14,,62,95,80,ND,,317,,710,,,3.197938144,0.613312203,,,Healthy,Normal,Normal,,,,500 ul serum Acetonitrile deproteinization; followed by evaporation and solid phase extraction,500,Acetonitrile,N2,Ammonium Acetate,SPE,,LC-MS/MS,2012,Arithmetic Mean,,LC-MS/MS: Mean; Healthy Control
Bile acid profiling in human biological samples: Comparison of extraction procedures and application to normal and cholestatic patients.,https://doi.org/10.1016/j.jchromb.2012.05.015,Serum,39,Normal,Fasted,LC-MS,nM,169.12,177.84,242.9,57.91,ND,112.81,705.03,255.25,99.62,ND,41.15,83.43,47.89,ND,ND,323.08,966.3,546.04,157.53,ND,2.076632138,0.545665359,,,Healthy,Normal,Normal,,,,500 ul serum Acetonitrile deproteinization; followed by evaporation and solid phase extraction,500,Acetonitrile,N2,Ammonium Acetate,SPE,,LC-MS/MS,2012,Arithmetic Mean,,LC-MS/MS: Mean; Healthy Control
Bile acid quantification of 20 plasma metabolites identifies lithocholic acid as a putative biomarker in Alzheimer’s disease.,https://doi.org/10.1007/s11306-017-1297-5,Plasma,20,Unknown,Unknown,LC-MS,nM,155,284,207,62,41,207,1156,504,137,27,40,170,72,8,5,402,1610,783,207,73,3.105473965,0.52833002,Mild Cognitive Impairment,,,,,9,21,78,Biocrates Bile Acid Kit,,,,,,,UHPLC-MS,2017,Arithmetic Mean,,UHPLC-MS: Mean; Mild Cognitive Impairment; no liver info
Bile acid quantification of 20 plasma metabolites identifies lithocholic acid as a putative biomarker in Alzheimer’s disease.,https://doi.org/10.1007/s11306-017-1297-5,Plasma,30,Unknown,Unknown,LC-MS,nM,215,361,423,88,32,423,1326,640,160,41,134,211,97,8,8,772,1898,1160,256,81,2.72386059,0.560674157,,,,,,8,22,77,Biocrates Bile Acid Kit,,,,,,,UHPLC-MS,2017,Arithmetic Mean,,UHPLC-MS: Mean; Control; no liver info
Bile acid quantification of 20 plasma metabolites identifies lithocholic acid as a putative biomarker in Alzheimer’s disease.,https://doi.org/10.1007/s11306-017-1297-5,Plasma,20,Unknown,Unknown,LC-MS,nM,224,1245,332,209,50,332,1951,956,137,66,99,347,152,11,11,655,3543,1440,357,127,1.97184466,0.458313483,Alzheimer's Disease,,,,,9,11,79,Biocrates Bile Acid Kit,,,,,,,UHPLC-MS,2017,Arithmetic Mean,,UHPLC-MS: Mean; Alzheimer's Disease; no liver info
Bile acids associate with glucose metabolism; but do not predict conversion from impaired fasting glucose to diabetes,https://doi.org/10.1016/j.metabol.2019.154042,Plasma,205,Both,Fasted,LC-MS,nM,,,,,,,,,,,,,,,,257.7,648.9,417,81.4,16.4,,,,,,,,141,64,56,50ul plasma. 325ul 1/100 dilution IS solution. 225ul cold MeOH added for protein precipitation. Vortex. Kept at -20deg for 20mins; Centrifuge. SN dried in Savant speedvac concentrator. Reconsititute in 50ul MeOH:H20 50:50 v/v. Centrifuge,50,Methanol,Vacuum,Methanol:H2O,,,LC-MS/MS,2019,Arithmetic Mean,,LC-MS/MS: Mean
Bile acids profile; histopathological indices and genetic variants for non-alcoholic fatty liver disease progression,https://doi.org/10.1016/j.metabol.2020.154457,Plasma,102,Unhealthy,Fasted,LC-MS,nM,72.8,227.8,374.9,27.4,18.2,522,1442.1,409.7,197.1,13.4,70.2,211.5,63.4,5.7,4.6,665,1881.4,848,230.2,36.2,4.076688393,0.437637449,NAFLD,,Liver,NAFLD,Metabolic,53,49,52.3,20ul plasma. Mix with 80ul ice cold MeOH IS mixture. Vortex. Centrifuge. SN analysed,20,Methanol,,,Direct Injection,,HPLC-MS/MS,2020,Median,,HPLC-MS/MS: Median NAFLD
Bile acids profile; histopathological indices and genetic variants for non-alcoholic fatty liver disease progression,https://doi.org/10.1016/j.metabol.2020.154457,Plasma,50,Normal,Fasted,LC-MS,nM,44.8,68,251.9,34.4,27.7,105.1,383.4,136.7,61,9.5,12.8,44.8,19.9,2,4.4,162.7,496.2,408.5,97.4,41.6,1.826616682,0.830930338,,,Healthy,Normal,Normal,,,,20ul plasma. Mix with 80ul ice cold MeOH IS mixture. Vortex. Centrifuge. SN analysed,20,Methanol,,,Direct Injection,,HPLC-MS/MS,2020,Median,,HPLC-MS/MS: Median
Circulating bile acid concentrations and non-alcoholic fatty liver disease in Guatemala,https://doi.org/10.1111/apt.16948,Serum,251,Unhealthy,Fasted,LC-MS,ng/ml,30.4,89,102,10.3,4.43,74.6,239,60.7,17.5,2.88,5.67,22.4,5.32,,,110.67,350.4,168.02,,,1.812857324,0.440562171,NAFLD,,Liver,NAFLD,Metabolic,84,167,54.3,,,,,,,,LC-MS/MS,2022,Arithmetic Mean,,LC-MS/MS: Mean; NAFLD
Circulating bile acid concentrations and non-alcoholic fatty liver disease in Guatemala,https://doi.org/10.1111/apt.16948,Serum,164,Normal,Fasted,LC-MS,ng/ml,31.05,76.3,83,8.41,3.58,46.15,203,48.3,16.45,3.33,1.25,12.95,2.5,,,78.45,292.25,133.8,,,1.65034101,0.446641489,No-NAFLD,,Healthy,Normal,Normal,82,82,56.9,,,,,,,,LC-MS/MS,2022,Arithmetic Mean,,LC-MS/MS: Mean; Healthy Control
Concentration of unsulfated lithocholic acid in portal and systemic venous plasma: evidence that lithocholic acid does not down regulate the hepatic cholesterol 7?-hydroxylase activity in gallstone patients.,https://doi.org/10.1016/0925-4439(96)00030-0,Serum,7,Unhealthy,Fasted,GC-MS,uM,,,,,,,,,,,,,,,,0.3,0.41,0.41,ND,0.03,,,Cholelithiasis,,Non-Liver,,,1,6,58,500ul plasma; 100ng IS dissolved in 20ul ethanol added. Dilute in 2ml aqueous ethanol. Alkaline hydrolysis 120deg 16h. Dilutewith saline and extract twice with diethylether to remove neutral steroids. Acidification with HCl; BAs extracted with diethylether. Methylated with diazomethane. Trichlorosilane and hexamethylsilazane. Evaporate to dryness and dissolve in hexane ,500,,,,,,GC-MS,1996,Arithmetic Mean,,GC-MS: Mean; Gallstone/Cholithiasis
Determination of sulfated and nonsulfated bile acids in serum by mass fragmentography,https://doi.org/10.1016/0039-128X(83)90121-6,Serum,15,Normal,Fasted,GC-MS,ug/ml,0.326,0.533,0.381,0.045,0.014,,,,,,,,,,,,,,,,,0.512223516,,,Healthy,Normal,Normal,7,8,,0.5ml serum diluted in 0.5M phosphate buffer;introduced to Sep-Pak C18 cartridge; sulfated and non-sulfated bile acids separated on PHP-LH-20 column. Alkaline hydrolysis 4h with 2ml 4M aqueous NaOH at 120deg in autoclave. Hydrolysate acidified to pH1 with 2M HCl and extracted with ether 3 times. Ether extracts evaporated to driness and derivatized to HFIP-TFA conjugates ,500,,,,,,GC-MS,1983,Arithmetic Mean,,GC-MS: Arithmetic Mean; Normal Levels of Serum  Bilirubin
Determination of sulfated and nonsulfated bile acids in serum by mass fragmentography,https://doi.org/10.1016/0039-128X(83)90121-6,Serum,8,Unhealthy,Fasted,GC-MS,ug/ml,23.981,15.884,0.519,0,0.049,,,,,,,,,,,,,,,,,0.014248087,Obstructive jaundice,,Liver,,,4,4,,0.5ml serum diluted in 0.5M phosphate buffer;introduced to Sep-Pak C18 cartridge; sulfated and non-sulfated bile acids separated on PHP-LH-20 column. Alkaline hydrolysis 4h with 2ml 4M aqueous NaOH at 120deg in autoclave. Hydrolysate acidified to pH1 with 2M HCl and extracted with ether 3 times. Ether extracts evaporated to driness and derivatized to HFIP-TFA conjugates ,500,,,,,,GC-MS,1983,Arithmetic Mean,,GC-MS: Arithmetic Mean; Obstructive Jaundice
Determination of sulfated and nonsulfated bile acids in serum by mass fragmentography,https://doi.org/10.1016/0039-128X(83)90121-6,Serum,8,Unhealthy,Fasted,GC-MS,ug/ml,2.478,3.877,0.352,0.116,0.023,,,,,,,,,,,,,,,,,0.077261998,Cirrhosis,,Liver,Cirrhosis,Metabolic,7,1,,0.5ml serum diluted in 0.5M phosphate buffer;introduced to Sep-Pak C18 cartridge; sulfated and non-sulfated bile acids separated on PHP-LH-20 column. Alkaline hydrolysis 4h with 2ml 4M aqueous NaOH at 120deg in autoclave. Hydrolysate acidified to pH1 with 2M HCl and extracted with ether 3 times. Ether extracts evaporated to driness and derivatized to HFIP-TFA conjugates ,500,,,,,,GC-MS,1983,Arithmetic Mean,,GC-MS: Arithmetic Mean; Cirrhosis
Diagnostic sensitivity of fasting and postprandial serum bile acids determined by different methods.,https://doi.org/10.1016/0009-8981(87)90446-3,Serum,20,Normal,Fasted,GLC,uM,,,,,,,,,,,,,,,,0.3,0.79,0.57,0.16,0.25,,,,,Healthy,Normal,Normal,,,,0.5-2ml serum using Amberlite XAD-2; solvolysis of sulfate groups; enzymatic hydrolysis of G- and T- conjugates; extraction of uBAs with diethylether at pH 1.0 with conc. HCl. Free acids methylated using acidified mixture of methanol and 2.2-dimethyoxypropane (1:1 v/v) and trimethyl silyayed using a mixture of hexamethyldisasane and trimethylcholorosilane in pyridine (2:1:3 v/v) at RT for 30 mins,,,,,,,Capilliary gas-liquid chromatography,1987,Arithmetic Mean,,Capilliary gas-liquid chromatography: Mean; Healthy controls
Diagnostic sensitivity of fasting and postprandial serum bile acids determined by different methods.,https://doi.org/10.1016/0009-8981(87)90446-3,Serum,20,Normal,Fed,GLC,uM,,,,,,,,,,,,,,,,0.72,2.14,1.4,0.56,0.48,,,,,Healthy,Normal,Normal,,,,0.5-2ml serum using Amberlite XAD-2; solvolysis of sulfate groups; enzymatic hydrolysis of G- and T- conjugates; extraction of uBAs with diethylether at pH 1.0 with conc. HCl. Free acids methylated using acidified mixture of methanol and 2.2-dimethyoxypropane (1:1 v/v) and trimethyl silyayed using a mixture of hexamethyldisasane and trimethylcholorosilane in pyridine (2:1:3 v/v) at RT for 30 mins,,,,,,,Capilliary gas-liquid chromatography,1987,Arithmetic Mean,,Capilliary gas-liquid chromatography: Mean; Healthy controls; 2 hours after standardised meal
Diagnostic sensitivity of fasting and postprandial serum bile acids determined by different methods.,https://doi.org/10.1016/0009-8981(87)90446-3,Serum,43,Unhealthy,Fasted,GLC,uM,,,,,,,,,,,,,,,,16.5,18.7,3.1,1.8,1.3,,,Cirrhosis,,Liver,Cirrhosis,Metabolic,30,13,48.6,0.5-2ml serum using Amberlite XAD-2; solvolysis of sulfate groups; enzymatic hydrolysis of G- and T- conjugates; extraction of uBAs with diethylether at pH 1.0 with conc. HCl. Free acids methylated using acidified mixture of methanol and 2.2-dimethyoxypropane (1:1 v/v) and trimethyl silyayed using a mixture of hexamethyldisasane and trimethylcholorosilane in pyridine (2:1:3 v/v) at RT for 30 mins,,,,,,,Capilliary gas-liquid chromatography,1987,Arithmetic Mean,,Capilliary gas-liquid chromatography: Mean; Cirrhotic (biopsy-proven of laparoscopy)
Diagnostic sensitivity of fasting and postprandial serum bile acids determined by different methods.,https://doi.org/10.1016/0009-8981(87)90446-3,Serum,43,Unhealthy,Fed,GLC,uM,,,,,,,,,,,,,,,,29.3,39.6,5.4,2.8,2.7,,,Cirrhosis,,Liver,Cirrhosis,Metabolic,30,13,48.6,0.5-2ml serum using Amberlite XAD-2; solvolysis of sulfate groups; enzymatic hydrolysis of G- and T- conjugates; extraction of uBAs with diethylether at pH 1.0 with conc. HCl. Free acids methylated using acidified mixture of methanol and 2.2-dimethyoxypropane (1:1 v/v) and trimethyl silyayed using a mixture of hexamethyldisasane and trimethylcholorosilane in pyridine (2:1:3 v/v) at RT for 30 mins,,,,,,,Capilliary gas-liquid chromatography,1987,Arithmetic Mean,,Capilliary gas-liquid chromatography: Mean;  Cirrhotic (biopsy-proven of laparoscopy); 2 hours after standardised meal
Distinct Postprandial Bile Acids Responses to a High-Calorie Diet in Men Volunteers Underscore Metabolically Healthy and Unhealthy Phenotypes,https://doi.org/10.3390/nu12113545,Plasma,71,Normal,Fed,LC-MS,uM,0.06,0.13,0.25,0.035,0.13,0.22,1.84,0.49,,,0.085,0.37,0.18,,,0.365,2.34,0.92,,,5.26446281,0.401109057,,,Healthy,Normal,Normal,71,0,30.1,100ul plasma deproteinized with acetonitrile (final conc 80& v/v) containing 25ug Nor and 10ug C4-D7. Vortex. Incubate 20min at RT and centrifuge. Evaporate SN under N2 at 50deg resuspend in150ul methanol.,100,Acetonitrile,N2,Methanol,,,HPLC-MS/MS,2020,Arithmetic Mean,,HPLC-MS/MS
Distinct Postprandial Bile Acids Responses to a High-Calorie Diet in Men Volunteers Underscore Metabolically Healthy and Unhealthy Phenotypes,https://doi.org/10.3390/nu12113545,Plasma,71,Normal,Fed,LC-MS,uM,0.07,0.2,0.39,0.052,0.24,0.23,1.75,0.54,,,0.1,0.39,0.23,,,0.4,2.34,1.16,,,3.403361345,0.529927007,,,Healthy,Normal,Normal,71,0,30.1,100ul plasma deproteinized with acetonitrile (final conc 80& v/v) containing 25ug Nor and 10ug C4-D7. Vortex. Incubate 20min at RT and centrifuge. Evaporate SN under N2 at 50deg resuspend in150ul methanol.,100,Acetonitrile,N2,Methanol,,,HPLC-MS/MS,2020,Arithmetic Mean,,HPLC-MS/MS
Distinct Postprandial Bile Acids Responses to a High-Calorie Diet in Men Volunteers Underscore Metabolically Healthy and Unhealthy Phenotypes,https://doi.org/10.3390/nu12113545,Plasma,71,Normal,Fasted,LC-MS,uM,0.12,0.2,0.29,0.048,0.056,0.11,0.76,0.23,,,0.047,0.14,0.15,,,0.277,1.1,0.67,,,2.012605042,0.562091503,,,Healthy,Normal,Normal,71,0,30.1,100ul plasma deproteinized with acetonitrile (final conc 80& v/v) containing 25ug Nor and 10ug C4-D7. Vortex. Incubate 20min at RT and centrifuge. Evaporate SN under N2 at 50deg resuspend in150ul methanol.,100,Acetonitrile,N2,Methanol,,,HPLC-MS/MS,2020,Arithmetic Mean,,HPLC-MS/MS: Fasted
