,BA,Conc,Fasted/Fed,Serum/Plasma,Analysis Technique,Healthy/Unhealthy,Exact Analysis Technique,Starting Volume,Average Age,Number of Patients,Protein Precipitation,NAFLD/NASH/Cirrhosis,Liver/Non-Liver
29,CA,195.1,Fed,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,60.9,27.0,Methanol,NASH,Liver
30,CA,87.2,Fed,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,48.4,45.0,Methanol,NASH,Liver
31,CA,71.8,Fed,Serum,LC-MS,Normal,UPLC-TQMS,50.0,52.8,40.0,Methanol,Normal,Healthy
32,CA,83.7,Fed,Serum,LC-MS,Normal,UPLC-TQMS,50.0,54.5,20.0,Methanol,Normal,Healthy
33,CA,91.4,Fed,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,59.9,42.0,Methanol,NAFL,Liver
34,CA,151.4,Fed,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,50.0,51.0,Methanol,NAFL,Liver
35,CA,100.0,Unknown,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,66.3,100.0,Methanol,HCC,Liver
36,CA,95.0,Unknown,Serum,LC-MS,Normal,UPLC-TQMS,50.0,66.4,100.0,Methanol,Normal,Healthy
37,CA,270.0,Fasted,Serum,LC-MS,Normal,LC-ESI-MS/MS,20.0,,,Ethanol:H2O,Normal,
38,CA,800.0,Fasted,Serum,LC-MS,Unhealthy,LC-ESI-MS/MS,20.0,,,Ethanol:H2O,NAFLD,Liver
39,CA,1390.0,Fasted,Serum,LC-MS,Unhealthy,LC-ESI-MS/MS,20.0,,,Ethanol:H2O,NAFLD,Liver
40,CA,37.0,Fasted,Plasma,LC-MS,Normal,LC-MS/MS,50.0,40.5,26.0,Methanol,Normal,Healthy
41,CA,27.0,Fasted,Plasma,LC-MS,Unhealthy,LC-MS/MS,50.0,41.3,32.0,Methanol,NASH,Liver
42,CA,1294.89,Fasted,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,56.78,37.0,Methanol,,Liver
43,CA,514.23,Fasted,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,61.3,57.0,Methanol,Cirrhosis,Liver
44,CA,146.39,Fasted,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,34.07,400.0,Methanol,,Liver
45,CA,186.12,Fasted,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,40.4,11.0,Methanol,,Liver
46,CA,57.43,Fasted,Serum,LC-MS,Normal,UPLC-TQMS,50.0,38.92,153.0,Methanol,Normal,Healthy
47,CA,196.59,Fasted,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,44.8,214.0,Methanol,NASH,Liver
48,CA,40.0,Fasted,Serum,LC-MS,Unhealthy,LC-MS/MS,500.0,,,Acetonitrile,,
49,CA,65.0,Fasted,Serum,LC-MS,Normal,LC-MS/MS,500.0,,,Acetonitrile,Normal,Healthy
50,CA,169.12,Fasted,Serum,LC-MS,Normal,LC-MS/MS,500.0,,,Acetonitrile,Normal,Healthy
51,CA,155.0,Unknown,Plasma,LC-MS,Unknown,UHPLC-MS,,78.0,30.0,,,
52,CA,215.0,Unknown,Plasma,LC-MS,Unknown,UHPLC-MS,,77.0,30.0,,,
53,CA,224.0,Unknown,Plasma,LC-MS,Unknown,UHPLC-MS,,79.0,20.0,,,
54,CA,,Fasted,Plasma,LC-MS,Both,LC-MS/MS,50.0,56.0,205.0,Methanol,,
55,CA,72.8,Fasted,Plasma,LC-MS,Unhealthy,HPLC-MS/MS,20.0,52.3,102.0,Methanol,NAFLD,Liver
56,CA,44.8,Fasted,Plasma,LC-MS,Normal,HPLC-MS/MS,20.0,,,Methanol,Normal,Healthy
57,CA,74.40039158100831,Fasted,Serum,LC-MS,Unhealthy,LC-MS/MS,,54.3,251.0,,NAFLD,Liver
58,CA,75.99118942731278,Fasted,Serum,LC-MS,Normal,LC-MS/MS,,56.9,164.0,,Normal,Healthy
59,CA,,Fasted,Serum,GC-MS,Unhealthy,GC-MS,500.0,58.0,7.0,,,Non-Liver
60,CA,797.8463044542339,Fasted,Serum,GC-MS,Normal,GC-MS,500.0,,15.0,,Normal,Healthy
61,CA,58690.651003426334,Fasted,Serum,GC-MS,Unhealthy,GC-MS,500.0,,8.0,,,Liver
62,CA,6064.610866372981,Fasted,Serum,GC-MS,Unhealthy,GC-MS,500.0,,8.0,,Cirrhosis,Liver
63,CA,,Fasted,Serum,GLC,Normal,Capilliary gas-liquid chromatography,,,,,Normal,Healthy
64,CA,,Fed,Serum,GLC,Normal,Capilliary gas-liquid chromatography,,,,,Normal,Healthy
65,CA,,Fasted,Serum,GLC,Unhealthy,Capilliary gas-liquid chromatography,,48.6,43.0,,Cirrhosis,Liver
66,CA,,Fed,Serum,GLC,Unhealthy,Capilliary gas-liquid chromatography,,48.6,43.0,,Cirrhosis,Liver
67,CA,60.0,Fed,Plasma,LC-MS,Normal,HPLC-MS/MS,100.0,30.1,71.0,Acetonitrile,Normal,Healthy
68,CA,70.0,Fed,Plasma,LC-MS,Normal,HPLC-MS/MS,100.0,30.1,71.0,Acetonitrile,Normal,Healthy
69,CA,120.0,Fasted,Plasma,LC-MS,Normal,HPLC-MS/MS,100.0,30.1,71.0,Acetonitrile,Normal,Healthy
70,CA,140.0,Fed,Plasma,LC-MS,Normal,HPLC-MS/MS,100.0,30.1,71.0,Acetonitrile,Normal,Healthy
71,CA,240.0,Fed,Plasma,LC-MS,Normal,HPLC-MS/MS,100.0,30.1,71.0,Acetonitrile,Normal,Healthy
72,CA,220.0,Fasted,Serum,LC-MS,Normal,LC-MS,150.0,24.0,10.0,Methanol,Normal,Healthy
73,CA,180.0,Fasted,Serum,LC-MS,Normal,LC-MS,150.0,24.0,10.0,Methanol,Normal,Healthy
74,CA,210.0,Fasted,Serum,LC-MS,Normal,LC-MS,150.0,24.0,10.0,Methanol,Normal,Healthy
75,CA,40.0,Fasted,Serum,LC-MS,Normal,LC-MS,150.0,24.0,10.0,Methanol,Normal,Healthy
76,CA,650.0,Fasted,Serum,LC-MS,Normal,LC-MS,150.0,24.0,10.0,Methanol,Normal,Healthy
77,CA,430.0,Fasted,Serum,LC-MS,Normal,LC-MS,150.0,24.0,10.0,Methanol,Normal,Healthy
78,CA,200.0,Fasted,Serum,LC-MS,Normal,LC-MS,150.0,24.0,10.0,Methanol,Normal,Healthy
79,CA,200.0,Fasted,Serum,LC-MS,Normal,LC-MS,150.0,24.0,10.0,Methanol,Normal,Healthy
80,CA,35.02,Fasted,Plasma,LC-MS,Normal,UPLC-ESI-MS,50.0,,21.0,Sodium Hydroxide,Normal,Healthy
81,CA,36.73,Fasted,Plasma,LC-MS,Unhealthy,UPLC-ESI-MS,50.0,,21.0,Sodium Hydroxide,,
82,CA,42.17,Fasted,Plasma,LC-MS,Unhealthy,UPLC-ESI-MS,50.0,,21.0,Sodium Hydroxide,,
83,CA,31.29,Fasted,Plasma,LC-MS,Unhealthy,UPLC-ESI-MS,50.0,,21.0,Sodium Hydroxide,,
84,CA,144.22,Fasted,Plasma,LC-MS,Unhealthy,UPLC-ESI-MS,50.0,,21.0,Sodium Hydroxide,,
85,CA,1397.6,Fasted,Serum,LC-MS,Unhealthy,UHPLC-TQ-TOFMS,100.0,55.9,40.0,Methanol:Acetonitrile,Cirrhosis,Liver
86,CA,352.6,Fasted,Serum,LC-MS,Unhealthy,UHPLC-TQ-TOFMS,100.0,52.6,45.0,Methanol:Acetonitrile,,Liver
87,CA,214.9,Fasted,Serum,LC-MS,Unhealthy,UHPLC-TQ-TOFMS,100.0,48.1,42.0,Methanol:Acetonitrile,,Liver
88,CA,98.5,Fasted,Serum,LC-MS,Normal,UHPLC-TQ-TOFMS,100.0,39.0,40.0,Methanol:Acetonitrile,Normal,Healthy
89,CA,285.2,Fasted,Serum,LC-MS,Unhealthy,UHPLC-TQ-TOFMS,100.0,39.8,41.0,Methanol:Acetonitrile,NAFLD,Liver
90,CA,,Fasted,Plasma,LC-MS,Normal,HPLC-MS/MS,250.0,,,Acetonitrile,Normal,Healthy
91,CA,,Fasted,Plasma,LC-MS,Unhealthy,HPLC-MS/MS,250.0,,,Acetonitrile,NASH,Liver
92,CA,20.0,Fasted,Serum,LC-MS,Normal,UPLC-MS,50.0,,11.0,Methanol,Normal,Healthy
93,CA,30.0,Fasted,Serum,LC-MS,Normal,UPLC-MS,50.0,,11.0,Methanol,Normal,Healthy
94,CA,98.7,Fasted,Serum,LC-MS,Normal,HPLC-MS/MS,10.0,33.0,75.0,,Normal,Healthy
95,CA,71.7,Fasted,Serum,LC-MS,Normal,HPLC-MS/MS,10.0,55.0,71.0,,Normal,Healthy
96,CA,90.5,Fasted,Serum,LC-MS,Normal,HPLC-MS/MS,10.0,55.0,95.0,,Normal,Healthy
97,CA,99.0,Fasted,Serum,LC-MS,Normal,HPLC-MS/MS,50.0,49.0,12.0,Acetonitrile,Normal,Healthy
98,CA,75.0,Fed,Serum,LC-MS,Normal,HPLC-MS/MS,50.0,40.0,62.0,Acetonitrile,Normal,Healthy
99,CA,167.0,Fed,Serum,LC-MS,Normal,HPLC-MS/MS,50.0,45.0,25.0,Acetonitrile,Normal,Healthy
100,CA,567.0,Fed,Serum,LC-MS,Normal,HPLC-MS/MS,50.0,49.0,12.0,Acetonitrile,Normal,Healthy
101,CA,161.0,Fasted,Serum,LC-MS,Normal,HPLC-MS/MS,50.0,40.0,62.0,Acetonitrile,Normal,Healthy
102,CA,270.0,Fasted,Serum,LC-MS,Normal,HPLC-MS/MS,50.0,45.0,25.0,Acetonitrile,Normal,Healthy
103,CA,,Fasted,Serum,GC-MS,Unhealthy,GC-MS,1000.0,62.0,5.0,,,Non-Liver
104,CA,40.0,Fasted,Plasma,LC-MS,Normal,HPLC-MS,100.0,53.0,35.0,Acetonitrile,Normal,Healthy
105,CA,50.0,Fasted,Plasma,LC-MS,Normal,HPLC-MS,100.0,46.0,200.0,Acetonitrile,Normal,Healthy
106,CA,,Fasted,Serum,Capillary Electrophoresis,Normal,Capillary Electrophoresis,2000.0,,23.0,,Normal,
107,CA,,Fasted,Serum,Capillary Electrophoresis,Unhealthy,Capillary Electrophoresis,2000.0,,15.0,,,
108,CA,,Fasted,Serum,Capillary Electrophoresis,Unhealthy,Capillary Electrophoresis,2000.0,31.0,9.0,,Cholestasis,Liver
109,CA,,Fasted,Serum,Capillary Electrophoresis,Unhealthy,Capillary Electrophoresis,2000.0,27.0,23.0,,Cholestasis,Liver
110,CA,,Fasted,Serum,GC-MS,Unhealthy,GC-MS,1000.0,61.0,10.0,,,Non-Liver
111,CA,230.0,Fasted,Plasma,LC-MS,Normal,HPLC-MS/MS,50.0,29.0,7.0,Methanol,,Non-Liver
112,CA,2150.0,Fasted,Plasma,LC-MS,Unhealthy,HPLC-MS/MS,50.0,29.0,7.0,Methanol,,Non-Liver
113,CA,600.0,Fed,Serum,LC-MS,Unhealthy,HPLC-MS,100.0,,50.0,Sodium Hydroxide,Cholestasis,Liver
114,CA,30.0,Fed,Plasma,GC-MS,Normal,GC-MS,,33.4,11.0,,Normal,Healthy
115,CA,330.0,Fed,Plasma,GC-MS,Unhealthy,GC-MS,,35.1,11.0,,,
116,CA,40.0,Fed,Plasma,GC-MS,Normal,GC-MS,,33.4,11.0,,Normal,Healthy
117,CA,370.0,Fed,Plasma,GC-MS,Normal,GC-MS,,33.4,11.0,,Normal,Healthy
118,CA,360.0,Fed,Plasma,GC-MS,Unhealthy,GC-MS,,35.1,11.0,,,
119,CA,350.0,Fasted,Plasma,GC-MS,Unhealthy,GC-MS,,35.1,11.0,,,
120,CA,60.0,Fasted,Plasma,GC-MS,Normal,GC-MS,,33.4,11.0,,Normal,Healthy
121,CA,530.0,Fed,Plasma,GC-MS,Unhealthy,GC-MS,,35.1,11.0,,,
122,CA,121.99,Fasted,Serum,LC-MS,Unhealthy,LC-MS/MS,100.0,54.4,12.0,Formic Acid,,Liver
123,CA,109.37,Fasted,Serum,LC-MS,Unhealthy,LC-MS/MS,100.0,37.7,6.0,Formic Acid,Cholestasis,Liver
124,CA,99.41,Fasted,Serum,LC-MS,Normal,LC-MS/MS,100.0,44.2,30.0,Formic Acid,Normal,Healthy
125,CA,181.54,Fasted,Serum,LC-MS,Normal,LC-MS/MS,100.0,52.1,30.0,Formic Acid,Normal,Healthy
126,CA,156.0,Unknown,Plasma,LC-MS,Unknown,UPLC-TQMS,,76.3,10.0,,Normal,Healthy
127,CA,947.0,Unknown,Plasma,LC-MS,Unknown,UPLC-TQMS,,77.6,10.0,,Normal,Healthy
128,CA,60.0,Fasted,Serum,LC-MS,Unknown,UPLC-TQMS,500.0,45.0,30.0,Acetonitrile,Normal,Healthy
129,CA,160.0,Fasted,Serum,LC-MS,Unknown,UPLC-TQMS,500.0,45.0,30.0,Acetonitrile,Normal,Healthy
130,CA,205.0,Fasted,Plasma,LC-MS,Unhealthy,HPLC-MS/MS,50.0,38.2,17.0,Methanol,NASH,Liver
131,CA,266.0,Fasted,Plasma,LC-MS,Unhealthy,HPLC-MS/MS,50.0,49.3,58.0,Methanol,NASH,Liver
132,CA,141.0,Fasted,Plasma,LC-MS,Normal,HPLC-MS/MS,50.0,38.5,85.0,Methanol,Normal,Healthy
133,CA,114.0,Fasted,Plasma,LC-MS,Normal,HPLC-MS/MS,50.0,47.1,59.0,Methanol,Normal,Healthy
134,CA,,Fasted,Serum,GC-MS,Unhealthy,GC-MS,1000.0,52.0,9.0,,,Non-Liver
135,CA,,Fasted,Serum,GC-MS,Unhealthy,GC-MS,1000.0,56.0,20.0,,,Non-Liver
136,CA,60.0,Fasted,Plasma,LC-MS,Normal,UPLC-MS/MS,50.0,59.7,15.0,Acetonitrile,Normal,Healthy
137,CA,70.0,Fasted,Plasma,LC-MS,Normal,UPLC-MS/MS,50.0,59.4,15.0,Acetonitrile,,
138,CA,,Fasted,Serum,GC-MS,Normal,GC-MS,1000.0,33.0,5.0,,Normal,Healthy
139,CA,,Fed,Serum,GC-MS,Normal,GC-MS,1000.0,33.0,5.0,,Normal,Healthy
140,CA,,Fed,Serum,GC-MS,Normal,GC-MS,1000.0,33.0,5.0,,Normal,Healthy
141,CA,,Fed,Serum,GC-MS,Normal,GC-MS,1000.0,33.0,5.0,,Normal,Healthy
142,CA,,Fed,Serum,GC-MS,Normal,GC-MS,1000.0,33.0,5.0,,Normal,Healthy
143,CA,,Fed,Serum,GC-MS,Normal,GC-MS,1000.0,33.0,5.0,,Normal,Healthy
144,CA,,Fasted,Serum,GC-MS,Normal,GC-MS,1000.0,33.0,10.0,,Normal,Healthy
145,CA,,Fed,Serum,GC-MS,Normal,GC-MS,1000.0,33.0,10.0,,Normal,Healthy
146,CA,,Fed,Serum,GC-MS,Normal,GC-MS,1000.0,33.0,10.0,,Normal,Healthy
147,CA,,Fed,Serum,GC-MS,Normal,GC-MS,1000.0,33.0,10.0,,Normal,Healthy
148,CA,,Fed,Serum,GC-MS,Normal,GC-MS,1000.0,33.0,10.0,,Normal,Healthy
149,CA,,Fed,Serum,GC-MS,Normal,GC-MS,1000.0,33.0,10.0,,Normal,Healthy
150,CA,,Fed,Serum,GC-MS,Normal,GC-MS,1000.0,33.0,10.0,,Normal,Healthy
151,CA,,Fed,Serum,GC-MS,Normal,GC-MS,1000.0,33.0,10.0,,Normal,Healthy
152,CA,,Fed,Serum,GC-MS,Normal,GC-MS,1000.0,33.0,10.0,,Normal,Healthy
153,CA,,Fed,Serum,GC-MS,Normal,GC-MS,1000.0,33.0,10.0,,Normal,Healthy
154,CA,,Fed,Serum,GC-MS,Normal,GC-MS,1000.0,33.0,10.0,,Normal,Healthy
155,CA,,Fasted,Serum,GC-MS,Unhealthy,GC-MS,1000.0,35.0,7.0,,,Non-Liver
156,CA,,Fed,Serum,GC-MS,Unhealthy,GC-MS,1000.0,35.0,7.0,,,Non-Liver
157,CA,,Fed,Serum,GC-MS,Unhealthy,GC-MS,1000.0,35.0,7.0,,,Non-Liver
158,CA,,Fed,Serum,GC-MS,Unhealthy,GC-MS,1000.0,35.0,7.0,,,Non-Liver
159,CA,,Fed,Serum,GC-MS,Unhealthy,GC-MS,1000.0,35.0,7.0,,,Non-Liver
160,CA,,Fed,Serum,GC-MS,Unhealthy,GC-MS,1000.0,35.0,7.0,,,Non-Liver
161,CA,116.8,Both,Plasma,LC-MS,Unhealthy,LC-MS/MS,50.0,59.1,233.0,Methanol,HCC,Liver
162,CA,75.4,Both,Plasma,LC-MS,Both,LC-MS/MS,50.0,59.1,233.0,Methanol,Normal,Healthy
163,CA,214.71,Unknown,Serum,LC-MS,Unhealthy,LC-MS/MS,,51.3,185.0,,HCC,Liver
164,CA,221.28,Unknown,Serum,LC-MS,Unhealthy,LC-MS/MS,,54.4,96.0,,HCC,Liver
165,CA,150.84,Unknown,Serum,LC-MS,Unhealthy,LC-MS/MS,,50.7,161.0,,,Liver
166,CA,202.01,Unknown,Serum,LC-MS,Unhealthy,LC-MS/MS,,54.5,96.0,,,Liver
167,CA,76.5,Both,Plasma,LC-MS,Unknown,UPLC-MRM-MS,50.0,57.5,569.0,Methanol,,
168,CA,91.7,Both,Plasma,LC-MS,Unhealthy,UPLC-MRM-MS,50.0,57.5,569.0,Methanol,,Non-Liver
169,CA,820.0,Fed,Serum,LC-MS,Unhealthy,HPLC-MS/MS,300.0,29.4,33.0,Formic Acid,Cholestasis,Liver
170,CA,370.0,Fed,Serum,LC-MS,Unhealthy,HPLC-MS/MS,300.0,27.9,28.0,Formic Acid,Cholestasis,Liver
171,CA,350.0,Fasted,Serum,LC-MS,Normal,HPLC-MS/MS,300.0,28.7,35.0,Formic Acid,Normal,Healthy
172,CA,173.3,Fasted,Serum,LC-MS,Unhealthy,HPLC-MS/MS,100.0,64.0,17.0,Formic Acid,Cholestasis,Liver
173,CA,86.6,Fasted,Serum,LC-MS,Unhealthy,HPLC-MS/MS,100.0,64.0,17.0,Formic Acid,Cholestasis,Liver
174,CA,181.5,Fasted,Serum,LC-MS,Normal,HPLC-MS/MS,100.0,,40.0,Formic Acid,Normal,Healthy
175,CA,79.9314733235438,Fasted,Serum,LC-MS,Normal,UPLC-MS/MS,50.0,,138.0,Methanol,Normal,Healthy
176,CA,124.37591776798824,Fasted,Serum,LC-MS,Normal,UPLC-MS/MS,50.0,,364.0,Methanol,Normal,Healthy
177,CA,,Fasted,Serum,GC-MS,Normal,GC-MS,,,15.0,,Normal,Healthy
178,CA,,Fed,Serum,GC-MS,Normal,GC-MS,,,15.0,,Normal,Healthy
179,CA,1161.0,Unknown,Plasma,LC-MS,Unhealthy,LC-MS/MS,250.0,,,Acetonitrile,Cholestasis,Liver
180,CA,111.0,Unknown,Plasma,LC-MS,Normal,LC-MS/MS,250.0,,,Acetonitrile,Normal,Healthy
181,CA,220.0,Fed,Plasma,LC-MS,Normal,UPLC-MS,50.0,33.5,10.0,Methanol,Normal,Healthy
182,CA,283.0,Fed,Serum,LC-MS,Normal,UPLC-MS,50.0,37.5,9.0,Methanol,Normal,Healthy
183,CA,15.91,Fasted,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,41.17,48.0,Methanol,NASH,Liver
184,CA,23.67,Fasted,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,41.17,48.0,Methanol,NASH,Liver
185,CA,14.37,Fasted,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,46.71,24.0,Methanol,NAFL,Liver
186,CA,58.94,Fasted,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,46.71,24.0,Methanol,NAFL,Liver
187,CA,18.32,Fasted,Serum,LC-MS,Normal,UPLC-TQMS,50.0,40.4,15.0,Methanol,Normal,Healthy
188,CA,,Fasted,Serum,GLC,Normal,GLC,2000.0,28.1,29.0,,Normal,Healthy
189,CA,,Fasted,Serum,GLC,Unhealthy,GLC,2000.0,28.59,61.0,,Cholestasis,Liver
190,CA,970.0,Fasted,Serum,HPLC,Normal,HPLC,,,5.0,,Normal,Healthy
191,CA,520.0,Fasted,Serum,HPLC,Unhealthy,HPLC,,56.4,12.0,,,Liver
192,CA,80.0,Fasted,Serum,HPLC,Unhealthy,HPLC,,56.4,12.0,,,Liver
193,CA,340.0,Fasted,Serum,HPLC,Unhealthy,HPLC,,42.7,6.0,,Cholestasis,Liver
194,CA,50.0,Fasted,Serum,HPLC,Unhealthy,HPLC,,42.7,6.0,,Cholestasis,Liver
195,CA,140.0,Fasted,Serum,LC-MS,Normal,HPLC-MS/MS,,16.0,105.0,,Normal,Healthy
196,CA,160.0,Fasted,Serum,LC-MS,Unhealthy,HPLC-MS/MS,,12.0,,,NAFLD,Liver
197,CA,110.0,Fasted,Serum,LC-MS,Unhealthy,HPLC-MS/MS,,10.0,,,NAFLD,Liver
198,CA,25.65,Fasted,Serum,LC-MS,Normal,UPLC-TQMS,50.0,70.5,20.0,Methanol,Normal,Healthy
199,CA,79.15,Fasted,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,71.5,30.0,Methanol,NAFL,Liver
200,CA,73.4,Fasted,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,75.0,17.0,Methanol,NAFL,Liver
201,CA,128.85,Fasted,Serum,LC-MS,Normal,UPLC-TQMS,50.0,67.0,36.0,Methanol,Normal,Healthy
202,CA,,Fasted,Serum,HPLC,Unhealthy,HPLC,,51.0,36.0,,,Liver
203,CA,,Fasted,Serum,GC-MS,Normal,GC-MS,500.0,,,,Normal,Healthy
204,CA,,Fasted,Serum,GC-MS,Unhealthy,GC-MS,500.0,51.0,7.0,,,Non-Liver
205,CA,,Fed,Serum,LC-MS,Normal,LC-MS/MS,,12.8,11.0,,Normal,Healthy
206,CA,,Fed,Serum,LC-MS,Unhealthy,LC-MS/MS,,13.7,16.0,,NASH,Liver
207,CA,440.0,Unknown,Serum,LC-MS,Normal,LC-MS/MS,50.0,,,Methanol,Normal,Healthy
208,CA,48.800000000000004,Fasted,Plasma,LC-MS,Unhealthy,UPLC-MS,100.0,58.0,37.0,Methanol,NASH,Liver
209,CA,54.300000000000004,Fasted,Plasma,LC-MS,Unhealthy,UPLC-MS,100.0,54.6,25.0,Methanol,NAFL,Liver
210,CA,50.3,Fasted,Plasma,LC-MS,Normal,UPLC-MS,100.0,39.2,24.0,Methanol,Normal,Healthy
211,CA,193.7,Fasted,Serum,LC-MS,Normal,UPLC-MS/MS,100.0,,90.0,Acetonitrile,Normal,Healthy
212,CA,60.0,Fasted,Plasma,LC-MS,Normal,LC-MS/MS,25.0,46.0,12.0,Trichloroacetic Acid,Normal,Healthy
213,CA,390.0,Fasted,Serum,GLC,Normal,Capillary Gas Chromatography,2000.0,,10.0,,Normal,Healthy
214,CA,470.0,Fasted,Serum,GLC,Unhealthy,Capillary Gas Chromatography,2000.0,,10.0,,,Non-Liver
215,CDCA,359.0,Fed,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,48.0,7.0,Methanol,NASH,Liver
216,CDCA,135.9,Fed,Serum,LC-MS,Normal,UPLC-TQMS,50.0,,15.0,Methanol,Normal,Healthy
217,CDCA,119.0,Fed,Serum,LC-MS,Normal,UPLC-TQMS,50.0,,15.0,Methanol,Normal,Healthy
218,CDCA,325.0,Fed,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,48.0,7.0,Methanol,NASH,Liver
219,CDCA,131.0,Fed,Serum,LC-MS,Normal,UPLC-TQMS,50.0,,15.0,Methanol,Normal,Healthy
220,CDCA,355.0,Fasted,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,48.0,7.0,Methanol,NASH,Liver
221,CDCA,433.0,Fed,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,48.0,7.0,Methanol,NASH,Liver
222,CDCA,135.0,Fed,Serum,LC-MS,Normal,UPLC-TQMS,50.0,,15.0,Methanol,Normal,Healthy
223,CDCA,414.0,Fed,Serum,LC-MS,Unhealthy,UPLC-TQMS,50.0,48.0,7.0,Methanol,NASH,Liver
