,Paper,Ref,Serum/Plasma,#Subjects,Healthy/Unhealthy,Fasted/Fed,Analysis Technique,Units,CA,CDCA,DCA,UDCA,LCA,G-CA,G-CDCA,G-DCA,G-UDCA,G-LCA,T-CA,T-CDCA,T-DCA,T-UDCA,T-LCA,totalCA,totalCDCA,totalDCA,totalUDCA,totalLCA,Conjugated:Unconjugated,2nd:1st,Disease,Biliary/Hepato,Liver/Non-liver,NAFLD/NASH/Cirrhosis,Metabolic/HCC/Cholestatsis,Males,Females,Average Age,Extraction,Starting Volume,Protein Precipitation,Evaporation Technique,Reconstitution Solvent,Extraction Method,Derivitisation,Exact Analysis Technique,Publication Year,Value Type,Total Bilirubin (mg/dL),NOTES,Number of Patients
10,Altered bile acid proﬁle associates with cognitive impairment in Alzheimer’s disease—An emerging role for gut microbiome,https://doi.org/10.1016/j.jalz.2018.07.217,Serum,305,Unknown,Fasted,LC-MS,uM,135.0,216.0,627.0,87.0,,297.0,806.0,672.0,136.0,39.0,66.0,97.0,77.0,8.0,6.0,498.0,1119.0,1376.0,231.0,,2.069483568,1.021645022,Alzheimer's Disease,,,,,166.0,139.0,74.7,Biocrates Bile Acid Kit,,,,,,,LC-MS/MS,2018,Arithmetic Mean,,LC-MS/MS: Mean; Alzheimer's Disease,305.0
11,Altered bile acid proﬁle associates with cognitive impairment in Alzheimer’s disease—An emerging role for gut microbiome,https://doi.org/10.1016/j.jalz.2018.07.217,Serum,284,Unknown,Fasted,LC-MS,uM,155.0,241.0,574.0,72.0,,234.0,724.0,488.0,114.0,34.0,57.0,88.0,59.0,8.0,5.0,446.0,1053.0,1121.0,194.0,,1.738003839,0.903268846,Early Mild Cognitive Impairment,,,,,154.0,130.0,71.12,Biocrates Bile Acid Kit,,,,,,,LC-MS/MS,2018,Arithmetic Mean,,LC-MS/MS: Mean; Early Mild Cognitive Impairment,284.0
12,Altered bile acid proﬁle associates with cognitive impairment in Alzheimer’s disease—An emerging role for gut microbiome,https://doi.org/10.1016/j.jalz.2018.07.217,Serum,505,Unknown,Fasted,LC-MS,uM,192.0,288.0,529.0,91.0,,239.0,710.0,502.0,129.0,30.0,68.0,91.0,65.0,8.0,5.0,499.0,1089.0,1096.0,228.0,,1.679090909,0.855793451,Late Mild Cognitive Impairment,,,,,308.0,197.0,73.95,Biocrates Bile Acid Kit,,,,,,,LC-MS/MS,2018,Arithmetic Mean,,LC-MS/MS: Mean; Late Mild Cognitive Impairment,505.0
13,Altered bile acid proﬁle associates with cognitive impairment in Alzheimer’s disease—An emerging role for gut microbiome,https://doi.org/10.1016/j.jalz.2018.07.217,Serum,370,Unknown,Fasted,LC-MS,uM,221.0,285.0,526.0,65.0,,236.0,658.0,440.0,115.0,27.0,68.0,90.0,58.0,8.0,5.0,525.0,1033.0,1024.0,188.0,,1.554238833,0.798459564,Cognitively Normal,,,,,180.0,190.0,84.58,Biocrates Bile Acid Kit,,,,,,,LC-MS/MS,2018,Arithmetic Mean,,LC-MS/MS: Mean; Cognitively Normal,370.0
14,Altered bile acid profile in mild cognitive impairment and Alzheimer's disease: Relationship to neuroimaging and CSF biomarkers,https://doi.org/10.1016/j.jalz.2018.08.012,Serum,98,Unknown,Fasted,LC-MS,uM,245.0,315.0,520.0,44.0,,269.0,702.0,462.0,93.0,25.0,90.0,114.0,77.0,8.0,4.0,604.0,1131.0,1059.0,145.0,,1.640569395,0.710662824,Subjective Memory Complaint,,,,,42.0,56.0,72.18,Biocrates Bile Acid Kit,,,,,,,LC-MS/MS,2018,Arithmetic Mean,,Subjective Memory Complaint,98.0
15,An integrated analysis of bile acid metabolism in humans with severe obesity,https://doi.org/10.1097/HEP.0000000000000938,Plasma,33,Both,Fasted,LC-MS,uM,36.0,67.0,153.0,21.0,4.0,70.0,183.0,117.0,33.0,6.0,16.0,27.0,17.0,1.0,1.0,122.0,277.0,287.0,55.0,11.0,1.676156584,0.884711779,Obesity,,,,,7.0,26.0,47.5,,50.0,Methanol,N2,Methanol:H2O,,,UPLC-MS/MS,2024,Median,,UPLC-MS/MS: Median; severe obesity undergoing bariatric surgery,33.0
16,Analysis of bile acid profile in plasma to differentiate cholangiocarcinoma from benign biliary diseases and healthy controls,https://doi.org/10.1016/j.jsbmb.2020.105775,Plasma,42,Unhealthy,Unknown,LC-MS,uM,119.0,120.0,282.0,113.0,8.0,44040.0,30140.0,689.0,2170.0,39.0,60610.0,22850.0,410.0,435.0,20.0,104769.0,53110.0,1381.0,2718.0,67.0,251.4065421,0.026387297,Cholangiocarcinoma,,Non-Liver,,,25.0,17.0,60.9,50ul plasma. 1oul IS and 140ul MeOH. Vortex. Centrifuge.,50.0,Methanol,No,,Direct Injection,,UPLC-MS/MS,2021,Arithmetic Mean,7.52,UPLC-MS/MS: Mean; Cholangiocarcinoma,42.0
17,Analysis of bile acid profile in plasma to differentiate cholangiocarcinoma from benign biliary diseases and healthy controls,https://doi.org/10.1016/j.jsbmb.2020.105775,Plasma,19,Unhealthy,Unknown,LC-MS,uM,334.0,652.0,215.0,108.0,18.0,1260.0,3974.0,506.0,546.0,26.0,467.0,831.0,129.0,51.0,14.0,2061.0,5457.0,850.0,705.0,58.0,5.880934439,0.214551742,HCC,,Liver,HCC,HCC,16.0,3.0,52.3,50ul plasma. 1oul IS and 140ul MeOH. Vortex. Centrifuge.,50.0,Methanol,No,,Direct Injection,,UPLC-MS/MS,2021,Arithmetic Mean,0.88,UPLC-MS/MS: Mean; HCC,19.0
18,Analysis of bile acid profile in plasma to differentiate cholangiocarcinoma from benign biliary diseases and healthy controls,https://doi.org/10.1016/j.jsbmb.2020.105775,Plasma,120,Unhealthy,Unknown,LC-MS,uM,398.0,931.0,418.0,230.0,21.0,694.0,2786.0,540.0,315.0,27.0,269.0,522.0,110.0,24.0,10.0,1361.0,4239.0,1068.0,569.0,58.0,2.651151151,0.302678571,Benign Biliary Disease,,Non-Liver,,,46.0,74.0,57.9,50ul plasma. 1ul IS and 140ul MeOH. Vortex. Centrifuge.,50.0,Methanol,No,,Direct Injection,,UPLC-MS/MS,2021,Arithmetic Mean,0.71,UPLC-MS/MS: Mean; Benign Biliary Disease,120.0
19,Analysis of bile acid profile in plasma to differentiate cholangiocarcinoma from benign biliary diseases and healthy controls,https://doi.org/10.1016/j.jsbmb.2020.105775,Plasma,28,Unhealthy,Unknown,LC-MS,uM,492.0,1064.0,398.0,252.0,15.0,551.0,2810.0,769.0,798.0,28.0,153.0,407.0,167.0,63.0,10.0,1196.0,4281.0,1334.0,1113.0,53.0,2.591625394,0.456454263,Gallbladder Cancer,,Non-Liver,,,13.0,15.0,62.4,50ul plasma. 1oul IS and 140ul MeOH. Vortex. Centrifuge.,50.0,Methanol,No,,Direct Injection,,UPLC-MS/MS,2021,Arithmetic Mean,1.3,UPLC-MS/MS: Mean; Gallbladder Cancer,28.0
20,Analysis of bile acid profile in plasma to differentiate cholangiocarcinoma from benign biliary diseases and healthy controls,https://doi.org/10.1016/j.jsbmb.2020.105775,Plasma,120,Normal,Unknown,LC-MS,uM,268.0,676.0,530.0,169.0,25.0,196.0,1678.0,469.0,188.0,23.0,33.0,182.0,82.0,17.0,9.0,497.0,2536.0,1081.0,374.0,57.0,1.724820144,0.49851632,,,Healthy,Normal,Normal,58.0,62.0,39.9,50ul plasma. 1ul IS and 140ul MeOH. Vortex. Centrifuge.,50.0,Methanol,No,,Direct Injection,,UPLC-MS/MS,2021,Arithmetic Mean,0.65,UPLC-MS/MS: Mean; Healthy,120.0
21,Analysis of the Serum Bile Acid Composition for Differential Diagnosis in Patients with Liver Disease,https://doi.org/10.1155/2015/717431,Serum,20,Unhealthy,Fasted,LC-MS,uM,69.5,104.7,32.2,88.4,17.7,1965.2,4901.2,178.2,793.9000000000001,15.0,690.0,1996.5,90.0,128.1,17.6,2724.7,7002.4,300.4,1010.4,50.3,34.48224,0.139928653,Biliary Tract Disease,,Non-Liver,,,14.0,6.0,66.5,20ul serum. 80ul ethanol and 20ul IS solution. Centrifuge. SN with water/formic acid (1000:1),20.0,Ethanol,No,,Direct Injection,,LC-MS/MS,2015,Least Squares Geometric Mean,2.09,LC-MS/MS: Geometric Mean; Biliary Tract Disease,20.0
22,Analysis of the Serum Bile Acid Composition for Differential Diagnosis in Patients with Liver Disease,https://doi.org/10.1155/2015/717431,Serum,29,Unhealthy,Fasted,LC-MS,uM,82.10000000000001,157.79999999999998,73.6,225.39999999999998,17.8,1438.3999999999999,3349.4,178.60000000000002,1087.6999999999998,22.9,491.5,1157.3,63.5,151.60000000000002,14.0,2012.0,4664.5,315.7,1464.6999999999998,54.699999999999996,14.28938387,0.274859582,Other Liver Diseases,,Liver,,,9.0,20.0,58.0,20ul serum. 80ul ethanol and 20ul IS solution. Centrifuge. SN with water/formic acid (1000:1),20.0,Ethanol,No,,Direct Injection,,LC-MS/MS,2015,Least Squares Geometric Mean,1.41,LC-MS/MS: Geometric Mean; Other Liver Diseases,29.0
23,Analysis of the Serum Bile Acid Composition for Differential Diagnosis in Patients with Liver Disease,https://doi.org/10.1155/2015/717431,Serum,67,Unhealthy,Fasted,LC-MS,uM,85.1,253.9,129.0,236.9,24.2,817.1,2835.6,232.0,899.8000000000001,23.3,228.9,830.8,76.7,107.6,14.5,1131.1,3920.3,437.7,1244.3,62.0,8.320257852,0.345250822,Viral Hepatitis,,Liver,,,40.0,27.0,59.9,20ul serum. 80ul ethanol and 20ul IS solution. Centrifuge. SN with water/formic acid (1000:1),20.0,Ethanol,No,,Direct Injection,,LC-MS/MS,2015,Least Squares Geometric Mean,1.18,LC-MS/MS: Geometric Mean; Viral Hepatitis,67.0
24,Analysis of the Serum Bile Acid Composition for Differential Diagnosis in Patients with Liver Disease,https://doi.org/10.1155/2015/717431,Serum,21,Unhealthy,Fasted,LC-MS,uM,130.3,552.5,78.8,1153.2,22.0,934.4,3762.9,144.9,3336.7,14.200000000000001,195.20000000000002,764.9,39.0,241.9,10.9,1259.9,5080.3,262.7,4731.8,47.1,4.876600578,0.795179963,ALD,,Liver,,,20.0,1.0,61.0,20ul serum. 80ul ethanol and 20ul IS solution. Centrifuge. SN with water/formic acid (1000:1),20.0,Ethanol,No,,Direct Injection,,LC-MS/MS,2015,Least Squares Geometric Mean,1.05,LC-MS/MS: Geometric Mean; ALD,21.0
25,Analysis of the Serum Bile Acid Composition for Differential Diagnosis in Patients with Liver Disease,https://doi.org/10.1155/2015/717431,Serum,13,Unhealthy,Fasted,LC-MS,uM,186.70000000000002,551.1,198.4,326.29999999999995,34.6,651.8000000000001,2632.7,253.0,727.6,27.599999999999998,114.7,399.5,62.7,55.300000000000004,9.5,953.2,3583.2999999999997,514.1,1109.2,71.7,3.804178552,0.373636063,NAFLD,,Liver,NAFLD,Metabolic,6.0,7.0,62.5,20ul serum. 80ul ethanol and 20ul IS solution. Centrifuge. SN with water/formic acid (1000:1),20.0,Ethanol,No,,Direct Injection,,LC-MS/MS,2015,Least Squares Geometric Mean,1.19,LC-MS/MS: Geometric Mean; NAFLD,13.0
26,Analysis of the Serum Bile Acid Composition for Differential Diagnosis in Patients with Liver Disease,https://doi.org/10.1155/2015/717431,Serum,46,Normal,Fasted,LC-MS,uM,63.8,344.5,266.5,197.5,10.3,123.5,546.0,157.0,211.0,7.1000000000000005,15.7,109.5,21.9,8.5,5.7,203.0,1000.0,445.40000000000003,417.0,23.099999999999998,1.366304102,0.736076475,,,Healthy,Normal,Normal,25.0,21.0,,20ul serum. 80ul ethanol and 20ul IS solution. Centrifuge. SN with water/formic acid (1000:1),20.0,Ethanol,No,,Direct Injection,,LC-MS/MS,2015,Median,0.8,LC-MS/MS: Median; Healthy controls,46.0
27,Assessment of serum bile acid profiles as biomarkers of liver injury and liver disease in humans,https://doi.org/10.1371/journal.pone.0193824,Serum,331,Unhealthy,Fed,LC-MS,ng/ml,466.71561429270673,708.6092715231787,224.6561385634233,,,13453.178694158076,17316.94839857651,2217.7491103202847,,,7748.109365910412,9175.305183109866,672.4034420652392,,,,,,,,43.01418058,0.061530802,Liver Injuries,,,,,186.0,145.0,46.4,50ul serum. 400ul 1% v/v fomic acid in acetonitrile for protein precipitation. 10ul IS added. Vortex. 10min centrifugation. SN evaporated under N2 at 40deg. Reconstituted in 100ul 50% v/v methanol in H2O,50.0,Acetonitrile,N2,Methanol:H2O,,,LC-MS/MS,2018,Arithmetic Mean,14.7,LC-MS/MS; Hepatic Injury,331.0
28,Assessment of serum bile acid profiles as biomarkers of liver injury and liver disease in humans,https://doi.org/10.1371/journal.pone.0193824,Serum,314,Normal,Both,LC-MS,ng/ml,150.7586882036221,293.93785022924095,523.6882322975038,,,468.85738831615123,1255.5604982206405,705.0711743772242,,,79.69749854566608,172.30338202921754,97.05823494096458,,,,,,,,3.333768949,0.525390984,,,Healthy,Normal,Normal,117.0,197.0,48.2,50ul serum. 400ul 1% v/v formic acid in acetonitrile for protein precipitation. 10ul IS added. Vortex. 10min centrifugation. SN evaporated under N2 at 40deg. Reconstituted in 100ul 50% v/v methanol in H2O,50.0,Acetonitrile,N2,Methanol:H2O,,,LC-MS/MS,2018,Arithmetic Mean,0.55,UPLC-TQMS: Median No-NAFLD,314.0
29,Association between circulating bile acid alterations and nonalcoholic steatohepatitis independent of obesity and diabetes mellitus,https://doi.org/10.1111/liv.15030,Serum,27,Unhealthy,Fed,LC-MS,nM,195.1,1455.0,629.6,235.4,,546.7,2960.7,283.2,,,109.7,449.2,31.4,12.2,,851.5,4864.9,944.2,,,1.746689992,0.208487859,NASH,,Liver,NASH,Metabolic,8.0,19.0,60.9,50ul serum extracted with 200ul MeOH dried using SpeedVac Concentrators ,50.0,Methanol,Vacuum,H2O;Ammonium Acetate;Methanol:Acetonitrile,,,UPLC-TQMS,2021,Median,,UPLC-TQMS: Median Nonobese NASH,27.0
30,Association between circulating bile acid alterations and nonalcoholic steatohepatitis independent of obesity and diabetes mellitus,https://doi.org/10.1111/liv.15030,Serum,45,Unhealthy,Fed,LC-MS,nM,87.2,658.4,706.3,98.1,,312.7,1218.6,296.4,,,110.8,420.6,84.6,12.0,,510.7,2297.6,1087.3,,,1.584322581,0.426378948,NASH,,Liver,NASH,Metabolic,20.0,25.0,48.4,50ul serum extracted with 200ul MeOH dried using SpeedVac Concentrators ,50.0,Methanol,Vacuum,H2O;Ammonium Acetate;Methanol:Acetonitrile,,,UPLC-TQMS,2021,Median,,UPLC-TQMS: Median Obese NASH,45.0
31,Association between circulating bile acid alterations and nonalcoholic steatohepatitis independent of obesity and diabetes mellitus,https://doi.org/10.1111/liv.15030,Serum,40,Normal,Fed,LC-MS,nM,71.8,349.3,600.0,70.7,,103.2,923.9,216.6,,,32.5,125.9,33.8,10.9,,207.5,1399.1,850.4,,,1.325151127,0.580107058,,,Healthy,Normal,Normal,15.0,25.0,52.8,50ul serum extracted with 200ul MeOH dried using SpeedVac Concentrators ,50.0,Methanol,Vacuum,H2O;Ammonium Acetate;Methanol:Acetonitrile,,,UPLC-TQMS,2021,Median,,UPLC-TQMS: Median; Nonobese;  No-NAFLD,40.0
32,Association between circulating bile acid alterations and nonalcoholic steatohepatitis independent of obesity and diabetes mellitus,https://doi.org/10.1111/liv.15030,Serum,20,Normal,Fed,LC-MS,nM,83.7,358.9,478.7,82.2,,88.2,726.5,107.5,,,45.0,108.8,28.0,9.9,,216.9,1194.2,614.2,,,1.110014948,0.5005315,,,Healthy,Normal,Normal,9.0,11.0,54.5,50ul serum extracted with 200ul MeOH dried using SpeedVac Concentrators ,50.0,Methanol,Vacuum,H2O;Ammonium Acetate;Methanol:Acetonitrile,,,UPLC-TQMS,2021,Median,,UPLC-TQMS: Median Obese No-NAFLD,20.0
33,Association between circulating bile acid alterations and nonalcoholic steatohepatitis independent of obesity and diabetes mellitus,https://doi.org/10.1111/liv.15030,Serum,42,Unhealthy,Fed,LC-MS,nM,91.4,551.4,711.9,69.6,,92.4,712.9,109.8,,,27.2,83.5,47.3,13.9,,211.0,1347.8,869.0,,,0.763181914,0.611046959,NAFL,,Liver,NAFL,Metabolic,22.0,20.0,59.9,50ul serum extracted with 200ul MeOH dried using SpeedVac Concentrators ,50.0,Methanol,Vacuum,H2O;Ammonium Acetate;Methanol:Acetonitrile,,,UPLC-TQMS,2021,Median,,UPLC-TQMS: Median Nonobese NAFL,42.0
34,Association between circulating bile acid alterations and nonalcoholic steatohepatitis independent of obesity and diabetes mellitus,https://doi.org/10.1111/liv.15030,Serum,51,Unhealthy,Fed,LC-MS,nM,151.4,802.3,629.3,89.1,,172.3,613.4,164.1,,,45.6,96.2,33.8,10.0,,369.3,1511.9,827.2,,,0.679026374,0.492398469,NAFL,,Liver,NAFL,Metabolic,31.0,20.0,50.0,50ul serum extracted with 200ul MeOH dried using SpeedVac Concentrators ,50.0,Methanol,Vacuum,H2O;Ammonium Acetate;Methanol:Acetonitrile,,,UPLC-TQMS,2021,Median,,UPLC-TQMS: Median Obese NAFL,51.0
35,Association between Pre-Diagnostic Serum Bile Acids and Hepatocellular Carcinoma: The Singapore Chinese Health Study,https://doi.org/10.3390/cancers13112648,Serum,100,Unhealthy,Unknown,LC-MS,nM,100.0,920.0,629.0,243.0,,796.0,6234.0,839.0,15.0,,169.0,675.0,124.0,23.2,,1065.0,7829.0,1592.0,281.2,,4.690909091,0.210613897,HCC,,Liver,HCC,HCC,75.0,25.0,66.3,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50.0,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2021,Geometric Mean,,UPLC-TQMS:Geometric Mean; HCC,100.0
36,Association between Pre-Diagnostic Serum Bile Acids and Hepatocellular Carcinoma: The Singapore Chinese Health Study,https://doi.org/10.3390/cancers13112648,Serum,100,Normal,Unknown,LC-MS,nM,95.0,825.0,773.0,145.0,,211.0,1883.0,566.0,11.8,,36.0,110.0,45.0,14.2,,342.0,2818.0,1384.0,171.0,,1.565288357,0.492088608,,,Healthy,Normal,Normal,75.0,25.0,66.4,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50.0,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2021,Geometric Mean,,UPLC-TQMS: Geometric Mean,100.0
37,Association of Serum and Fecal Bile Acid Patterns With Liver Fibrosis in Biopsy-Proven Disease: An Observational Study Nonalcoholic Fatty Liver,https://doi.org/10.14309/ctg.0000000000000503,Serum,55,Normal,Fasted,LC-MS,uM,270.0,1240.0,450.0,750.0,460.0,,,,,,,,,,,440.0,2590.0,1430.0,1400.0,660.0,1.057,1.151815182,,,,Normal,Normal,,,,20ul serum. IS and 20ul ethanol:H2O 9:1. Diluted with 2ml 0.5 M potassium phosphate buffer. Passed through Bond Elut C18 cartridges. Cartridge washed with 1.6ml water. BAs eluted in 3ml ethanol:water 9:1. Evaporated at 100deg under N2. Redissolved in 20mM ammonium acetate buffer (pH 7.5):MeOH 1:1. Centrifuge. SN injected.,20.0,Ethanol:H2O,N2,Ammonium Acetate:Methanol,SPE,,LC-ESI-MS/MS,2022,Arithmetic Mean,,LC-ESI-MS/MS: Mean; Healthy,
